jstime,valence,arousal,video
0,5.0,5.0,10
50,5.0,5.0,10
100,5.0,5.0,10
150,5.0,5.0,10
200,5.0,5.0,10
250,5.0,5.0,10
300,5.0,5.0,10
350,5.0,5.0,10
400,5.0,5.0,10
450,5.0,5.0,10
500,5.0,5.0,10
550,5.0,5.0,10
600,5.0,5.0,10
650,5.0,5.0,10
700,5.0,5.0,10
750,5.0,5.0,10
800,5.0,5.0,10
850,5.0,5.0,10
900,5.0,5.0,10
950,5.0,5.0,10
1000,5.0,5.0,10
1050,5.0,5.0,10
1100,5.0,5.0,10
1150,5.0,5.0,10
1200,5.0,5.0,10
1250,5.0,5.0,10
1300,5.0,5.0,10
1350,5.0,5.0,10
1400,5.0,5.0,10
1450,5.0,5.0,10
1500,5.0,5.0,10
1550,5.0,5.0,10
1600,5.0,5.0,10
1650,5.0,5.0,10
1700,5.0,5.0,10
1750,5.0,5.0,10
1800,5.0,5.0,10
1850,5.0,5.0,10
1900,5.0,5.0,10
1950,5.0,5.0,10
2000,5.0,5.0,10
2050,5.0,5.0,10
2100,5.0,5.0,10
2150,5.0,5.0,10
2200,5.0,5.0,10
2250,5.0,5.0,10
2300,5.0,5.0,10
2350,5.0,5.0,10
2400,5.0,5.0,10
2450,5.0,5.0,10
2500,5.0,5.0,10
2550,5.0,5.0,10
2600,5.0,5.0,10
2650,5.0,5.0,10
2700,5.0,5.0,10
2750,5.0,5.0,10
2800,5.0,5.0,10
2850,5.0,5.0,10
2900,5.0,5.0,10
2950,5.0,5.0,10
3000,5.0,5.0,10
3050,5.0,5.0,10
3100,5.0,5.0,10
3150,5.0,5.0,10
3200,5.0,5.0,10
3250,5.0,5.0,10
3300,5.0,5.0,10
3350,5.0,5.0,10
3400,5.0,5.0,10
3450,5.0,5.0,10
3500,5.0,5.0,10
3550,5.0,5.0,10
3600,5.0,5.0,10
3650,5.0,5.0,10
3700,5.0,5.0,10
3750,5.0,5.0,10
3800,5.0,5.0,10
3850,5.0,5.0,10
3900,5.0,5.0,10
3950,5.0,5.0,10
4000,5.0,5.0,10
4050,5.0,5.0,10
4100,5.0,5.0,10
4150,5.0,5.0,10
4200,5.0,5.0,10
4250,5.0,5.0,10
4300,5.0,5.0,10
4350,5.0,5.0,10
4400,5.0,5.0,10
4450,5.0,5.0,10
4500,5.0,5.0,10
4550,5.0,5.0,10
4600,5.0,5.0,10
4650,5.0,5.0,10
4700,5.0,5.0,10
4750,5.0,5.0,10
4800,5.0,5.0,10
4850,5.0,5.0,10
4900,5.0,5.0,10
4950,5.0,5.0,10
5000,5.0,5.0,10
5050,5.0,5.0,10
5100,5.0,5.0,10
5150,5.0,5.0,10
5200,5.0,5.0,10
5250,5.0,5.0,10
5300,5.0,5.0,10
5350,5.0,5.0,10
5400,5.0,5.0,10
5450,5.0,5.0,10
5500,5.0,5.0,10
5550,5.0,5.0,10
5600,5.0,5.0,10
5650,5.0,5.0,10
5700,5.0,5.0,10
5750,5.0,5.0,10
5800,5.0,5.0,10
5850,5.0,5.0,10
5900,5.0,5.0,10
5950,5.0,5.0,10
6000,5.0,5.0,10
6050,5.0,5.0,10
6100,5.0,5.0,10
6150,5.0,5.0,10
6200,5.0,5.0,10
6250,5.0,5.0,10
6300,5.0,5.0,10
6350,5.0,5.0,10
6400,5.0,5.0,10
6450,5.0,5.0,10
6500,5.0,5.0,10
6550,5.0,5.0,10
6600,5.0,5.0,10
6650,5.0,5.0,10
6700,5.0,5.0,10
6750,5.0,5.0,10
6800,5.0,5.0,10
6850,5.0,5.0,10
6900,5.0,5.0,10
6950,5.0,5.0,10
7000,5.0,5.0,10
7050,5.0,5.0,10
7100,5.0,5.0,10
7150,5.0,5.0,10
7200,5.0,5.0,10
7250,5.0,5.0,10
7300,5.0,5.0,10
7350,5.0,5.0,10
7400,5.0,5.0,10
7450,5.0,5.0,10
7500,5.0,5.0,10
7550,5.0,5.0,10
7600,5.0,5.0,10
7650,5.0,5.0,10
7700,5.0,5.0,10
7750,5.0,5.0,10
7800,5.0,5.0,10
7850,5.0,5.0,10
7900,5.0,5.0,10
7950,5.0,5.0,10
8000,5.0,5.0,10
8050,5.0,5.0,10
8100,5.0,5.0,10
8150,5.0,5.0,10
8200,5.0,5.0,10
8250,5.0,5.0,10
8300,5.0,5.0,10
8350,5.0,5.0,10
8400,5.0,5.0,10
8450,5.0,5.0,10
8500,5.0,5.0,10
8550,5.0,5.0,10
8600,5.0,5.0,10
8650,5.0,5.0,10
8700,5.0,5.0,10
8750,5.0,5.0,10
8800,5.0,5.0,10
8850,5.013,5.0,10
8900,5.076,5.0,10
8950,5.154,5.0,10
9000,5.245,5.0,10
9050,5.296,4.984,10
9100,5.316,4.976,10
9150,5.32,4.972,10
9200,5.32,4.971,10
9250,5.32,4.971,10
9300,5.32,4.971,10
9350,5.32,4.971,10
9400,5.32,4.971,10
9450,5.327,4.968,10
9500,5.354,4.962,10
9550,5.404,4.955,10
9600,5.489,4.942,10
9650,5.586,4.932,10
9700,5.689,4.924,10
9750,5.756,4.919,10
9800,5.805,4.911,10
9850,5.836,4.901,10
9900,5.867,4.898,10
9950,5.896,4.898,10
10000,5.932,4.898,10
10050,5.966,4.898,10
10100,5.994,4.898,10
10150,6.01,4.898,10
10200,6.043,4.898,10
10250,6.077,4.898,10
10300,6.117,4.898,10
10350,6.148,4.904,10
10400,6.185,4.91,10
10450,6.215,4.911,10
10500,6.242,4.915,10
10550,6.272,4.917,10
10600,6.334,4.919,10
10650,6.42,4.92,10
10700,6.497,4.921,10
10750,6.531,4.921,10
10800,6.556,4.921,10
10850,6.59,4.923,10
10900,6.648,4.924,10
10950,6.702,4.924,10
11000,6.739,4.924,10
11050,6.757,4.924,10
11100,6.761,4.924,10
11150,6.761,4.924,10
11200,6.761,4.924,10
11250,6.761,4.924,10
11300,6.761,4.924,10
11350,6.761,4.924,10
11400,6.761,4.924,10
11450,6.761,4.924,10
11500,6.761,4.924,10
11550,6.761,4.925,10
11600,6.761,4.929,10
11650,6.761,4.931,10
11700,6.761,4.931,10
11750,6.761,4.931,10
11800,6.761,4.931,10
11850,6.761,4.931,10
11900,6.761,4.931,10
11950,6.761,4.937,10
12000,6.761,4.946,10
12050,6.761,4.95,10
12100,6.761,4.951,10
12150,6.761,4.952,10
12200,6.761,4.952,10
12250,6.761,4.954,10
12300,6.761,4.956,10
12350,6.761,4.957,10
12400,6.761,4.957,10
12450,6.761,4.957,10
12500,6.761,4.957,10
12550,6.761,4.957,10
12600,6.761,4.957,10
12650,6.761,4.957,10
12700,6.761,4.957,10
12750,6.761,4.957,10
12800,6.761,4.957,10
12850,6.761,4.957,10
12900,6.761,4.957,10
12950,6.761,4.956,10
13000,6.761,4.956,10
13050,6.761,4.956,10
13100,6.761,4.956,10
13150,6.761,4.956,10
13200,6.761,4.956,10
13250,6.761,4.956,10
13300,6.761,4.956,10
13350,6.761,4.956,10
13400,6.761,4.956,10
13450,6.761,4.956,10
13500,6.761,4.956,10
13550,6.761,4.956,10
13600,6.761,4.956,10
13650,6.761,4.956,10
13700,6.761,4.956,10
13750,6.761,4.956,10
13800,6.761,4.956,10
13850,6.761,4.956,10
13900,6.761,4.956,10
13950,6.761,4.949,10
14000,6.761,4.938,10
14050,6.761,4.935,10
14100,6.761,4.93,10
14150,6.761,4.911,10
14200,6.761,4.889,10
14250,6.761,4.882,10
14300,6.761,4.881,10
14350,6.761,4.881,10
14400,6.761,4.881,10
14450,6.761,4.881,10
14500,6.761,4.88,10
14550,6.761,4.878,10
14600,6.761,4.877,10
14650,6.761,4.877,10
14700,6.761,4.877,10
14750,6.761,4.877,10
14800,6.761,4.877,10
14850,6.761,4.877,10
14900,6.761,4.877,10
14950,6.761,4.874,10
15000,6.761,4.873,10
15050,6.761,4.873,10
15100,6.761,4.873,10
15150,6.761,4.872,10
15200,6.761,4.87,10
15250,6.761,4.869,10
15300,6.759,4.866,10
15350,6.757,4.862,10
15400,6.757,4.857,10
15450,6.757,4.852,10
15500,6.757,4.848,10
15550,6.757,4.844,10
15600,6.753,4.841,10
15650,6.751,4.839,10
15700,6.751,4.839,10
15750,6.751,4.837,10
15800,6.751,4.835,10
15850,6.751,4.835,10
15900,6.751,4.835,10
15950,6.751,4.835,10
16000,6.751,4.835,10
16050,6.751,4.835,10
16100,6.751,4.835,10
16150,6.751,4.835,10
16200,6.751,4.84,10
16250,6.751,4.843,10
16300,6.751,4.843,10
16350,6.751,4.844,10
16400,6.751,4.854,10
16450,6.751,4.876,10
16500,6.751,4.904,10
16550,6.751,4.925,10
16600,6.751,4.95,10
16650,6.751,4.963,10
16700,6.755,4.975,10
16750,6.76,4.989,10
16800,6.773,4.997,10
16850,6.784,5.001,10
16900,6.788,5.002,10
16950,6.789,5.002,10
17000,6.793,5.002,10
17050,6.794,5.002,10
17100,6.795,5.002,10
17150,6.798,5.002,10
17200,6.809,5.002,10
17250,6.826,5.002,10
17300,6.844,5.002,10
17350,6.86,5.002,10
17400,6.879,5.002,10
17450,6.9,5.002,10
17500,6.939,5.002,10
17550,6.977,5.002,10
17600,6.996,5.002,10
17650,7.005,5.002,10
17700,7.016,5.002,10
17750,7.03,5.002,10
17800,7.055,5.002,10
17850,7.082,5.002,10
17900,7.101,5.002,10
17950,7.113,5.002,10
18000,7.125,5.002,10
18050,7.142,5.002,10
18100,7.158,5.002,10
18150,7.171,5.002,10
18200,7.188,5.002,10
18250,7.204,5.002,10
18300,7.225,4.987,10
18350,7.249,4.977,10
18400,7.283,4.969,10
18450,7.319,4.961,10
18500,7.337,4.954,10
18550,7.35,4.951,10
18600,7.37,4.948,10
18650,7.395,4.94,10
18700,7.426,4.933,10
18750,7.45,4.929,10
18800,7.468,4.927,10
18850,7.474,4.926,10
18900,7.474,4.926,10
18950,7.474,4.926,10
19000,7.474,4.926,10
19050,7.474,4.926,10
19100,7.474,4.926,10
19150,7.474,4.926,10
19200,7.474,4.926,10
19250,7.474,4.926,10
19300,7.474,4.926,10
19350,7.473,4.926,10
19400,7.473,4.926,10
19450,7.472,4.926,10
19500,7.469,4.926,10
19550,7.466,4.926,10
19600,7.465,4.926,10
19650,7.465,4.926,10
19700,7.464,4.926,10
19750,7.463,4.924,10
19800,7.462,4.923,10
19850,7.461,4.922,10
19900,7.46,4.921,10
19950,7.46,4.921,10
20000,7.46,4.919,10
20050,7.459,4.917,10
20100,7.459,4.917,10
20150,7.459,4.917,10
20200,7.459,4.917,10
20250,7.459,4.917,10
20300,7.459,4.917,10
20350,7.459,4.917,10
20400,7.459,4.917,10
20450,7.459,4.915,10
20500,7.459,4.913,10
20550,7.459,4.912,10
20600,7.459,4.91,10
20650,7.459,4.908,10
20700,7.459,4.906,10
20750,7.459,4.905,10
20800,7.459,4.904,10
20850,7.459,4.904,10
20900,7.458,4.904,10
20950,7.458,4.904,10
21000,7.458,4.902,10
21050,7.458,4.902,10
21100,7.457,4.902,10
21150,7.457,4.901,10
21200,7.457,4.9,10
21250,7.456,4.9,10
21300,7.456,4.9,10
21350,7.454,4.9,10
21400,7.453,4.9,10
21450,7.451,4.9,10
21500,7.45,4.899,10
21550,7.45,4.897,10
21600,7.45,4.897,10
21650,7.45,4.897,10
21700,7.45,4.896,10
21750,7.45,4.896,10
21800,7.447,4.896,10
21850,7.446,4.895,10
21900,7.446,4.894,10
21950,7.446,4.893,10
22000,7.446,4.893,10
22050,7.446,4.893,10
22100,7.446,4.893,10
22150,7.446,4.893,10
22200,7.446,4.893,10
22250,7.446,4.893,10
22300,7.446,4.893,10
22350,7.446,4.893,10
22400,7.446,4.893,10
22450,7.446,4.893,10
22500,7.446,4.893,10
22550,7.446,4.893,10
22600,7.446,4.893,10
22650,7.446,4.893,10
22700,7.446,4.893,10
22750,7.446,4.893,10
22800,7.446,4.893,10
22850,7.446,4.893,10
22900,7.446,4.893,10
22950,7.446,4.893,10
23000,7.446,4.893,10
23050,7.446,4.893,10
23100,7.446,4.893,10
23150,7.446,4.893,10
23200,7.446,4.893,10
23250,7.446,4.893,10
23300,7.446,4.893,10
23350,7.446,4.893,10
23400,7.446,4.893,10
23450,7.446,4.893,10
23500,7.446,4.893,10
23550,7.446,4.893,10
23600,7.446,4.893,10
23650,7.446,4.893,10
23700,7.446,4.893,10
23750,7.446,4.893,10
23800,7.446,4.893,10
23850,7.446,4.893,10
23900,7.446,4.893,10
23950,7.446,4.893,10
24000,7.446,4.893,10
24050,7.446,4.893,10
24100,7.446,4.893,10
24150,7.446,4.893,10
24200,7.446,4.893,10
24250,7.446,4.893,10
24300,7.446,4.893,10
24350,7.446,4.893,10
24400,7.446,4.893,10
24450,7.446,4.893,10
24500,7.446,4.893,10
24550,7.446,4.893,10
24600,7.446,4.893,10
24650,7.446,4.893,10
24700,7.446,4.893,10
24750,7.446,4.893,10
24800,7.446,4.893,10
24850,7.443,4.892,10
24900,7.441,4.891,10
24950,7.441,4.891,10
25000,7.441,4.891,10
25050,7.441,4.891,10
25100,7.441,4.891,10
25150,7.439,4.89,10
25200,7.438,4.89,10
25250,7.438,4.89,10
25300,7.438,4.889,10
25350,7.438,4.888,10
25400,7.438,4.888,10
25450,7.438,4.888,10
25500,7.438,4.888,10
25550,7.438,4.888,10
25600,7.438,4.888,10
25650,7.438,4.888,10
25700,7.438,4.888,10
25750,7.438,4.888,10
25800,7.438,4.888,10
25850,7.438,4.887,10
25900,7.438,4.887,10
25950,7.438,4.887,10
26000,7.438,4.887,10
26050,7.438,4.887,10
26100,7.438,4.887,10
26150,7.438,4.887,10
26200,7.438,4.887,10
26250,7.438,4.887,10
26300,7.438,4.887,10
26350,7.438,4.887,10
26400,7.438,4.887,10
26450,7.438,4.887,10
26500,7.438,4.887,10
26550,7.438,4.887,10
26600,7.438,4.887,10
26650,7.438,4.887,10
26700,7.438,4.887,10
26750,7.438,4.887,10
26800,7.438,4.887,10
26850,7.438,4.887,10
26900,7.438,4.887,10
26950,7.438,4.887,10
27000,7.438,4.887,10
27050,7.438,4.887,10
